date,temperature_2m_mean,temperature_2m_max,temperature_2m_min,precipitation_sum
1950-01-01 00:00:00+00:00,10.647792,14.016685,6.76881,0.30923423
1950-01-01 00:00:00+00:00,10.237975,14.790955,5.931914,0.8556731
1950-01-01 00:00:00+00:00,10.678159,13.565226,6.7450175,4.6178393
1950-01-01 00:00:00+00:00,10.018342,14.189498,6.458122,1.8112166
1950-01-01 00:00:00+00:00,10.158525,15.413769,5.371225,1.3468884
1950-01-01 00:00:00+00:00,10.4487095,16.08804,5.584329,0.557963
1950-01-01 00:00:00+00:00,8.4888935,10.262311,5.997432,4.1698475
1950-01-01 00:00:00+00:00,7.9290757,11.136582,5.060536,7.0989437
1950-01-01 00:00:00+00:00,9.61926,10.960853,7.4236403,6.248578
1950-01-01 00:00:00+00:00,12.009444,15.935125,8.686745,12.571173
1950-01-01 00:00:00+00:00,11.749627,14.609396,9.599849,3.1202457
1950-01-01 00:00:00+00:00,10.639811,13.283668,8.362952,4.129627
1950-01-01 00:00:00+00:00,11.779995,15.707938,6.2760544,0.16614689
1950-01-01 00:00:00+00:00,10.020179,14.482208,4.9891586,0.0
1950-01-01 00:00:00+00:00,9.660361,12.006479,4.252263,1.596675
1950-01-01 00:00:00+00:00,13.150545,19.330751,7.3653665,0.25355014
1950-01-01 00:00:00+00:00,14.840729,22.005022,5.72847,0.0
1950-01-01 00:00:00+00:00,17.13091,22.929293,9.241574,0.25643805
1950-01-01 00:00:00+00:00,16.921095,20.653564,13.554678,6.2751374
1950-01-01 00:00:00+00:00,15.661281,20.027834,11.517782,1.2966349
1950-01-01 00:00:00+00:00,18.151463,24.752108,11.380885,1.912327
1950-01-01 00:00:00+00:00,18.691647,22.176376,14.593989,4.807313
1950-01-01 00:00:00+00:00,20.031832,25.70065,15.407093,4.4822626
1950-01-01 00:00:00+00:00,19.072014,22.77492,15.720197,3.9766238
1950-01-01 00:00:00+00:00,20.112196,24.79919,14.533301,0.7108113
1950-01-01 00:00:00+00:00,19.252382,24.37346,12.946404,1.5186695
1950-01-01 00:00:00+00:00,15.442566,21.247734,10.409508,0.08981567
1950-01-01 00:00:00+00:00,14.582749,19.272003,8.472611,0.0
1950-01-01 00:00:00+00:00,14.072933,18.896276,9.085715,0.09078031
1950-01-01 00:00:00+00:00,14.663116,19.620546,7.948819,0.0
1950-01-01 00:00:00+00:00,16.203299,22.64482,8.661922,0.0
1950-01-01 00:00:00+00:00,17.393482,23.56909,8.925027,0.0
1950-01-01 00:00:00+00:00,18.183668,24.843359,9.93813,0.0
1950-01-01 00:00:00+00:00,18.673851,24.767632,11.051234,0.18638699
1950-01-01 00:00:00+00:00,18.914034,24.491903,11.764337,0.093676396
1950-01-01 00:00:00+00:00,19.004217,25.066172,12.877441,0.094159395
1950-01-01 00:00:00+00:00,19.4944,25.940447,11.840546,0.0
1950-01-01 00:00:00+00:00,17.134584,21.914717,11.7036495,1.8073877
1950-01-01 00:00:00+00:00,13.17477,14.6389885,9.616753,2.5814416
1950-01-01 00:00:00+00:00,12.114953,15.813258,8.579858,1.9218462
1950-01-01 00:00:00+00:00,12.305136,17.937529,8.642961,4.4424853
1950-01-01 00:00:00+00:00,14.04532,17.9118,9.706065,1.9411864
